"","state","year","barrels","type"
"276","MI",2019,131484.72,"On Premises"
"277","MN",2008,8568.38,"On Premises"
"278","MN",2009,7928.92,"On Premises"
"279","MN",2010,8360.51,"On Premises"
"280","MN",2011,9205.09,"On Premises"
"281","MN",2012,11376.94,"On Premises"
"282","MN",2013,11984.66,"On Premises"
"283","MN",2014,12425.12,"On Premises"
"284","MN",2015,35484.79,"On Premises"
"285","MN",2016,50565.24,"On Premises"
"286","MN",2017,61178.19,"On Premises"
"287","MN",2018,85052.12,"On Premises"
"288","MN",2019,96830.69,"On Premises"
"289","MO",2008,14793.83,"On Premises"
"290","MO",2009,13213.42,"On Premises"
"291","MO",2010,13289.38,"On Premises"
"292","MO",2011,14315.99,"On Premises"
"293","MO",2012,14047.28,"On Premises"
"294","MO",2013,12949.37,"On Premises"
"295","MO",2014,13379.38,"On Premises"
"296","MO",2015,18369.1,"On Premises"
"297","MO",2016,27933.48,"On Premises"
"298","MO",2017,28606.86,"On Premises"
"299","MO",2018,31234.65,"On Premises"
"300","MO",2019,34057.43,"On Premises"
"301","MS",2008,NA,"On Premises"
"302","MS",2009,5.81,"On Premises"
"303","MS",2010,12.58,"On Premises"
"304","MS",2011,3.23,"On Premises"
"305","MS",2012,40.12,"On Premises"
"306","MS",2013,0,"On Premises"
"307","MS",2014,0,"On Premises"
"308","MS",2015,6197.57,"On Premises"
"309","MS",2016,6899.51,"On Premises"
"310","MS",2017,8898.59,"On Premises"
"311","MS",2018,10462.16,"On Premises"
"312","MS",2019,11912.45,"On Premises"
"313","MT",2008,1039.61,"On Premises"
"314","MT",2009,1827.57,"On Premises"
"315","MT",2010,2944.97,"On Premises"
"316","MT",2011,3806.3,"On Premises"
"317","MT",2012,4375.87,"On Premises"
"318","MT",2013,4373.97,"On Premises"
"319","MT",2014,5997.94,"On Premises"
"320","MT",2015,25759.63,"On Premises"
"321","MT",2016,30906.36,"On Premises"
"322","MT",2017,35410.18,"On Premises"
"323","MT",2018,40821.3,"On Premises"
"324","MT",2019,48182.05,"On Premises"
"325","NC",2008,14561.53,"On Premises"
"326","NC",2009,14406.8,"On Premises"
"327","NC",2010,20184.07,"On Premises"
"328","NC",2011,20768.59,"On Premises"
"329","NC",2012,17604.53,"On Premises"
"330","NC",2013,21871.66,"On Premises"
"331","NC",2014,19005.47,"On Premises"
"332","NC",2015,52073.41,"On Premises"
"333","NC",2016,106408.5,"On Premises"
"334","NC",2017,122669.87,"On Premises"
"335","NC",2018,181068.92,"On Premises"
"336","NC",2019,222608.55,"On Premises"
"337","ND",2008,648.33,"On Premises"
"338","ND",2009,626.62,"On Premises"
"339","ND",2010,731.62,"On Premises"
"340","ND",2011,772.39,"On Premises"
"341","ND",2012,817.7,"On Premises"
"342","ND",2013,1374.55,"On Premises"
"343","ND",2014,1346.63,"On Premises"
"344","ND",2015,2322.25,"On Premises"
"345","ND",2016,2809.64,"On Premises"
"346","ND",2017,5287.38,"On Premises"
"347","ND",2018,6723.49,"On Premises"
"348","ND",2019,10218.59,"On Premises"
"349","NE",2008,3927.23,"On Premises"
"350","NE",2009,5007.46,"On Premises"
"351","NE",2010,5392.27,"On Premises"
"352","NE",2011,6111.78,"On Premises"
"353","NE",2012,5596.83,"On Premises"
"354","NE",2013,6392.8,"On Premises"
"355","NE",2014,3651.12,"On Premises"
"356","NE",2015,6340.13,"On Premises"
"357","NE",2016,9731.87,"On Premises"
"358","NE",2017,16999.38,"On Premises"
"359","NE",2018,23984.61,"On Premises"
"360","NE",2019,25822.41,"On Premises"
"361","NH",2008,4543.38,"On Premises"
"362","NH",2009,4645.59,"On Premises"
"363","NH",2010,5272.03,"On Premises"
"364","NH",2011,5912.51,"On Premises"
"365","NH",2012,6262.36,"On Premises"
"366","NH",2013,6077.87,"On Premises"
"367","NH",2014,6006.92,"On Premises"
"368","NH",2015,8634.11,"On Premises"
"369","NH",2016,16905.67,"On Premises"
"370","NH",2017,27295.21,"On Premises"
